Timestamp,Gender,Select the country you currently live in.,Are you related to IT Profession?,What's your age?,Are you currently enrolled as a student at a degree granting school?,Which highest level of formal education have you attained?,Which best describes your undergraduate major?,Are you currently focused on learning data science skills either formally or informally?,What's your current employment status?,Select the option that's most similar to your current job/professional title (or most recent title if retired),How long have you been learning data science and/or working in the data science field?,How useful did you find these platforms & resources for learning data science skills? [Blogs],How useful did you find these platforms & resources for learning data science skills? [College/University],How useful did you find these platforms & resources for learning data science skills? [Personal Projects],"How useful did you find these platforms & resources for learning data science skills? [Online courses (coursera, udemy, edx, etc.)]",How useful did you find these platforms & resources for learning data science skills? [Friends network],How useful did you find these platforms & resources for learning data science skills? [Company internal community],How useful did you find these platforms & resources for learning data science skills? [YouTube Videos],How useful did you find these platforms & resources for learning data science skills? [Textbook],What programming language would you recommend most to learn first to new data scientist? ,What programming language would you recommend must need to have as data scientist? ,How important do you think the below skills or certifications are in getting a data science job? [Amazon Machine Learning],How important do you think the below skills or certifications are in getting a data science job? [Big Data],How important do you think the below skills or certifications are in getting a data science job? [College Degree],How important do you think the below skills or certifications are in getting a data science job? [Data Visualizations],How important do you think the below skills or certifications are in getting a data science job? [Enterprise Tools],How important do you think the below skills or certifications are in getting a data science job? [Google Cloud],How important do you think the below skills or certifications are in getting a data science job? [Hadoop/Hive/Pig],How important do you think the below skills or certifications are in getting a data science job? [IBM SPSS],How important do you think the below skills or certifications are in getting a data science job? [Java],How important do you think the below skills or certifications are in getting a data science job? [Microsoft Excel],How important do you think the below skills or certifications are in getting a data science job? [NoSQL],How important do you think the below skills or certifications are in getting a data science job? [Oracle Data Mining/ Oracle R Enterprise],How important do you think the below skills or certifications are in getting a data science job? [Python],How important do you think the below skills or certifications are in getting a data science job? [R],How important do you think the below skills or certifications are in getting a data science job? [Relational data],How important do you think the below skills or certifications are in getting a data science job? [SAS],How important do you think the below skills or certifications are in getting a data science job? [SQL],How important do you think the below skills or certifications are in getting a data science job? [Tableau],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Intellectual curiosity],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Business acumen],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Communication skills],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Teamwork],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Collaboration],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Creative Thinking],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Problem Solving],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Active Learning],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Perceptiveness],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Interpersonal Skills],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Generating Hypotheses]
10/17/2018 5:40,Male,United States,Yes,24,Yes,Master's degree,A health science,"Yes, but data science is a small part of what I'm focused on learning","Not employed, but looking for work",,< 1 Year,Somewhat useful,,Somewhat useful,Very useful,Very useful,Not at all useful,Somewhat useful,Not at all useful,Python,Python,,Unnecessary,Nice to have,Unnecessary,Unnecessary,,,,Unnecessary,,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,5,3,4,3,4,5,4,4,5,5,5
10/17/2018 8:13,Male,United States,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2018 13:16,Female,United States,Maybe,44,No,Master's degree,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,> 10 years,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,R,R,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,"Nice to have, Necessary",Necessary,Necessary,5,5,5,5,5,5,5,5,5,5,5
10/17/2018 13:21,Female,United States,Yes,37,No,,"Information Technology, Networking, or System Administration","Yes, but data science is a small part of what I'm focused on learning",Employed full-time,,5 - 10 years,,Very useful,,,Not at all useful,,,,Python,Python,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,5,5,5,5,3,5,4,4,3,5,4
10/17/2018 13:25,Male,United States,Yes,32,No,Bachelor's degree,Finance,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Engineer,1 - 2 years,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not Very useful,Not Very useful,Somewhat useful,Not at all useful,Python,Python,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,5,5,5,5,5,5,5,5,5,5,5
10/17/2018 13:29,Male,Canada,Yes,28,Yes,Master's degree,Engineering (non-computer focused),"Yes, I'm focused on learning mostly data science skills","Not employed, but looking for work",,3 - 5 years,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful,Somewhat useful,Very useful,,R,R,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,5,5,5,5,5,3,4,4,5,5,3
10/17/2018 13:29,Male,United States,Yes,32,No,Bachelor's degree,Finance,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Engineer,1 - 2 years,Very useful,Somewhat useful,Very useful,Somewhat useful,Not Very useful,Not Very useful,Somewhat useful,Not at all useful,Python,Python,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,5,5,5,5,5,5,5,5,5,5,5
10/17/2018 13:29,Male,United States,Yes,58,No,Master's degree,Mathematics or statistics,"No, I am not focused on learning data science skills","Independent contractor, freelancer, or self-employed",DBA/Database Engineer,> 10 years,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,R,R,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,5,5,5,5,5,3,4,5,3,2,3
10/17/2018 13:38,Male,New Zealand,Yes,33,No,Doctoral degree,"Information Technology, Networking, or System Administration","Yes, but data science is a small part of what I'm focused on learning",Employed full-time,Scientist/Researcher,1 - 2 years,Not Very useful,Very useful,,Not Very useful,,Not at all useful,Somewhat useful,,SAS,SAS,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Unnecessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,,4,5,3,5,5,5,5,3,3,3
10/17/2018 13:48,Female,United States,Yes,30,Yes,Master's degree,Computer Science,"Yes, I'm focused on learning mostly data science skills","Not employed, but looking for work",,< 1 Year,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not at all useful,Somewhat useful,Not at all useful,Python,Python,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Nice to have,Necessary,Necessary,4,5,5,5,3,5,4,2,2,5,5
10/17/2018 14:03,Female,United Kingdom,Yes,29,No,Master's degree,economics,"Yes, I'm focused on learning mostly data science skills",Employed part-time,Data Analyst,1 - 2 years,Somewhat useful,Somewhat useful,Very useful,Very useful,Not at all useful,Not Very useful,Very useful,"Very useful, Somewhat useful",SQL,R,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Nice to have,5,5,5,3,3,5,5,5,4,2,5
10/17/2018 14:03,Male,India,Yes,58,No,,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,,5 - 10 years,,Somewhat useful,Somewhat useful,,,Not Very useful,,,,,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,4,5,5,4,4,5,5,4,5,5,5
10/17/2018 14:03,Male,United States,Yes,56,No,Master's degree,Mathematics or statistics,"No, I am not focused on learning data science skills","Independent contractor, freelancer, or self-employed",Operations Research Practitioner,> 10 years,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Python,Python,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,5,5,5,3,3,4,4,5,4,3,5
10/17/2018 14:15,Female,United Kingdom,Yes,29,No,Master's degree,economics,"Yes, I'm focused on learning mostly data science skills",Employed part-time,Data Analyst,1 - 2 years,Somewhat useful,Somewhat useful,Very useful,Very useful,Not at all useful,Not Very useful,Very useful,"Very useful, Somewhat useful",SQL,SQL,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Nice to have,5,5,5,3,3,5,5,5,4,2,5
10/17/2018 17:48,Male,Spain,Yes,38,No,Doctoral degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning",Employed full-time,Data Scientist,5 - 10 years,Very useful,Somewhat useful,Very useful,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,R,R,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,4,5,5,5,3,4,4,5,4,5,5
10/17/2018 18:16,Male,India,Yes,38,No,Doctoral degree,Engineering (non-computer focused),"Yes, I'm focused on learning mostly data science skills",Employed full-time,Computer Scientist,> 10 years,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Python,Python,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,4,5,5,3,3,5,5,5,3,5,3
10/17/2018 18:16,Male,United States,Yes,59,No,Bachelor's degree,Chemical Engineering,"Yes, I'm focused on learning mostly data science skills","Independent contractor, freelancer, or self-employed",Data Scientist,3 - 5 years,Somewhat useful,Not Very useful,Very useful,Very useful,Somewhat useful,Not Very useful,Somewhat useful,Somewhat useful,R,SQL,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,5,5,5,3,3,4,4,2,3,3,3
10/17/2018 18:17,Male,India,Yes,27,Yes,Bachelor's degree,Electrical Engineering,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,3 - 5 years,Somewhat useful,Somewhat useful,Very useful,,Very useful,Very useful,Very useful,Very useful,Python,R,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,4,5,5,3,5,4,5,3,4,3,3
10/17/2018 18:17,Male,United States,Yes,35,No,Master's degree,Computer Science,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,3 - 5 years,Not Very useful,Very useful,Very useful,Very useful,Not Very useful,Not Very useful,Somewhat useful,Somewhat useful,Python,R,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,4,5,5,3,3,4,5,3,3,4,3
10/17/2018 18:34,Male,United Kingdom,Yes,24,Yes,,"Information Technology, Networking, or System Administration","Yes, I'm focused on learning mostly data science skills",Employed full-time,,3 - 5 years,Somewhat useful,,Somewhat useful,Very useful,Not at all useful,Not Very useful,,,,,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,5,5,5,3,3,5,4,4,3,2,4
10/17/2018 20:22,Female,Russia,Yes,25,Yes,,"Information Technology, Networking, or System Administration","Yes, I'm focused on learning mostly data science skills",Employed full-time,,3 - 5 years,Somewhat useful,Somewhat useful,,Somewhat useful,,Very useful,,,Python,Python,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,,Unnecessary,Necessary,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,,5,5,5,5,5,4,5,3,5,3
10/17/2018 21:18,Male,India,Yes,30,Yes,Bachelor's degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning","Not employed, but looking for work",,5 - 10 years,Very useful,Very useful,Very useful,,Very useful,Not Very useful,Very useful,,R,Python,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,Necessary,4,5,5,5,3,5,5,5,3,3,5
10/17/2018 21:40,Male,United States,Yes,35,No,Master's degree,Electrical Engineering,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Computer Scientist,> 10 years,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Somewhat useful,Somewhat useful,R,R,,,,,,Unnecessary,,,Nice to have,,,,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Nice to have,4,,3,4,3,4,3,3,5,5,5
10/17/2018 21:40,Male,United States,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2018 22:29,Male,United Kingdom,Yes,36,No,Doctoral degree,Electrical Engineering,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,> 10 years,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Python,Python,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,4,5,5,5,3,5,5,5,3,4,3
10/17/2018 22:29,Male,United States,Yes,26,Yes,Bachelor's degree,,"Yes, I'm focused on learning mostly data science skills","Not employed, but looking for work",,< 1 Year,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not at all useful,Somewhat useful,Not Very useful,Somewhat useful,Python,Python,,,,,,Unnecessary,,,Nice to have,Nice to have,,,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,5,,3,4,3,5,5,5,5,5,5
10/17/2018 22:55,Male,United Kingdom,Yes,29,No,Doctoral degree,Physics,"Yes, I'm focused on learning mostly data science skills","Not employed, and not looking for work",,3 - 5 years,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Python,R,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,5,4,5,3,5,5,5,5,3,5,3
10/17/2018 23:14,Female,India,Yes,22,Yes,Bachelor's degree,Computer Science,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Software Developer/Software Engineer,1 - 2 years,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,SQL,SQL,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,5,4,4,5,5,5,5,5,4,5,5
10/17/2018 23:14,Male,United States,Yes,,No,Master's degree,Finance,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Software Developer/Software Engineer,5 - 10 years,Not Very useful,Somewhat useful,Not Very useful,Very useful,Not Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Java,Java,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,4,4,4,5,5,4,5,3,4,3,3
10/18/2018 1:24,Female,United States,Yes,24,Yes,Bachelor's degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning","Not employed, and not looking for work",,< 1 Year,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not Very useful,Very useful,Very useful,Very useful,Python,Python,,,,,,Unnecessary,,,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,5,4,2,2,5,4,5,3,5,3,4
10/18/2018 1:25,Female,United States,Yes,27,Yes,Master's degree,Communications,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,1 - 2 years,Somewhat useful,Very useful,Very useful,Somewhat useful,Not Very useful,Not at all useful,Somewhat useful,Somewhat useful,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,5,4,5,4,4,3,4,5,5,4,5
